ID,URL,Ckan URL,Main website?,API v2?,API v3?
data_ottawa_ca,http://data.ottawa.ca/,http://data.ottawa.ca/,True,True,False
data_graz_gv_at,http://data.graz.gv.at/,,True,False,False
datagm_org_uk,http://datagm.org.uk,http://datagm.org.uk,True,True,True
data_buenosaires_gob_ar,http://data.buenosaires.gob.ar/,http://data.buenosaires.gob.ar/,True,True,False
opingogn_is,http://opingogn.is/,http://opingogn.is/,True,True,True
healthdata_gov,http://healthdata.gov/,,True,False,False
data_gov_au,http://data.gov.au,http://data.gov.au,True,True,True
opendata_admin_ch,http://opendata.admin.ch/,http://opendata.admin.ch/,True,True,True
data_openva_com,http://data.openva.com/,http://data.openva.com/,True,True,True
data_lexingtonky_gov,http://data.lexingtonky.gov/,http://data.lexingtonky.gov/,True,True,False
data_gov_sk,http://data.gov.sk,http://data.gov.sk,True,True,False
opendatadc_org,http://opendatadc.org/,http://opendatadc.org/,True,True,True
govdata_de,http://govdata.de,,True,False,False
data_gov_uk,http://data.gov.uk,http://data.gov.uk,True,True,True
www_opendata_hro_de,http://www.opendata-hro.de/,http://www.opendata-hro.de/,True,True,False
www_daten_rlp_de,http://www.daten.rlp.de/,http://www.daten.rlp.de/,True,True,False
dados_recife_pe_gov_br,http://dados.recife.pe.gov.br/,http://dados.recife.pe.gov.br/,True,True,True
daten_berlin_de,http://daten.berlin.de,,True,False,False
data_gov,http://data.gov,,True,False,False
www_hri_fi,http://www.hri.fi,,True,False,False
open_data_europa_eu,http://open-data.europa.eu/,,True,False,False
data_denvergov_org,http://data.denvergov.org/,,True,False,False
data_qld_gov_au,http://data.qld.gov.au,http://data.qld.gov.au,True,True,True
data_overheid_nl,http://data.overheid.nl,,True,False,False
opendata_hu,http://opendata.hu/,http://opendata.hu/,True,True,True
dati_gov_it,http://dati.gov.it/,,True,False,False
africaopendata_org,http://africaopendata.org/,http://africaopendata.org/,True,True,True
data_sa_gov_au,http://data.sa.gov.au/,http://data.sa.gov.au/,True,True,True
data_gv_at,http://data.gv.at,,True,False,False
dados_gov_br,http://dados.gov.br,http://dados.gov.br,True,True,False
data_gov_ro,http://data.gov.ro/,http://data.gov.ro/,True,True,True
data_linz_gv_at,http://data.linz.gv.at/,,True,False,False
dati_toscana_it,http://dati.toscana.it/,http://dati.toscana.it/,True,True,False
bermuda_io,http://bermuda.io/,http://bermuda.io/,True,True,True
daten_hamburg_de,http://daten.hamburg.de/,,True,False,False
opendata_comune_bari_it,http://opendata.comune.bari.it/,http://opendata.comune.bari.it/,True,True,False
publicdata_eu,http://publicdata.eu,http://publicdata.eu,True,True,True
data_glasgow_gov_uk,http://data.glasgow.gov.uk/,http://data.glasgow.gov.uk/,True,True,True
offenedaten_de,http://offenedaten.de/,http://offenedaten.de/,True,True,True
dati_trentino_it,http://dati.trentino.it/,http://dati.trentino.it/,True,True,True
opendata_aragon_es,http://opendata.aragon.es/,http://opendata.aragon.es/,True,True,False
data_norge_no,http://data.norge.no,,True,False,False
hubofdata_ru,http://hubofdata.ru/,http://hubofdata.ru/,True,True,True
datacatalogs_org,http://datacatalogs.org/,http://datacatalogs.org/,True,True,False
datospublicos_gob_ar,http://datospublicos.gob.ar/,,True,False,False
catalogodatos_gub_uy,https://catalogodatos.gub.uy/,https://catalogodatos.gub.uy/,True,True,True
www_nosdonnees_fr,http://www.nosdonnees.fr/,http://www.nosdonnees.fr/,True,True,False
iatiregistry_org,http://iatiregistry.org,http://iatiregistry.org,True,True,True
opendatacanarias_es,http://opendatacanarias.es/,,True,False,False
datosabiertos_malaga_eu,http://datosabiertos.malaga.eu/,http://datosabiertos.malaga.eu/,True,True,True
data_cityofsantacruz_com,http://data.cityofsantacruz.com/,http://data.cityofsantacruz.com/,True,True,False
opendata_cmt_es,http://opendata.cmt.es/,http://opendata.cmt.es/,True,True,True
data_kk_dk,http://data.kk.dk/,http://data.kk.dk/,True,True,True
data_nsw,http://data.nsw.gov.au,,True,False,False
www_opendata_provincia_roma_it,http://www.opendata.provincia.roma.it/,http://www.opendata.provincia.roma.it/,True,True,False
data_codeforhouston_com,http://data.codeforhouston.com/,,False,False,False
data_gc_ca,http://data.gc.ca,,True,False,False
open_data_okfn_gr,http://open-data.okfn.gr/,,True,False,False
donnees_ville_montreal_qc_ca,http://donnees.ville.montreal.qc.ca/,http://donnees.ville.montreal.qc.ca/,True,True,True
dartportal_leeds_ac_uk,http://dartportal.leeds.ac.uk/,http://dartportal.leeds.ac.uk/,True,True,True
dadosabertos_senado_gov_br,http://dadosabertos.senado.gov.br/,http://dadosabertos.senado.gov.br/,True,True,False
opendata_awt_be,http://opendata.awt.be/,http://opendata.awt.be/,True,True,True
datahub_io,http://datahub.io/,http://datahub.io/,True,True,True
data_edostate_gov_ng,http://data.edostate.gov.ng/,http://data.edostate.gov.ng/,True,True,True
catalogue_datalocale_fr,http://catalogue.datalocale.fr,http://catalogue.datalocale.fr,True,True,False
www_opendatahub_it,http://www.opendatahub.it/,http://www.opendatahub.it/,True,True,False
opencolorado_org,http://opencolorado.org/,,True,False,False
datos_codeandomexico_org,http://datos.codeandomexico.org/,http://datos.codeandomexico.org/,True,True,True
www_odaa_dk,http://www.odaa.dk/,http://www.odaa.dk/,True,True,True
datameti_go_jp_data,http://datameti.go.jp/data/,http://datameti.go.jp/data/,True,True,False
